Title,Average,None,None,None,None,None,None,None,None,None
1_Warmth,4.5,1.0,1.1666666666666667,1.8333333333333333,5.0,2.8333333333333335,3.3333333333333335,1.0,4.333333333333333,4.666666666666667
1_Discomfort,4.333333333333333,9.0,1.1666666666666667,6.0,3.1666666666666665,5.0,2.0,1.6666666666666667,3.6666666666666665,1.5
1_Competency,5.166666666666667,3.0,8.333333333333334,4.666666666666667,6.166666666666667,5.166666666666667,3.3333333333333335,5.5,4.333333333333333,7.5
1_Safety,3.3333333333333335,3.6666666666666665,2.0,2.6666666666666665,2.3333333333333335,3.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
2_Warmth,1.6666666666666667,1.0,1.0,4.166666666666667,5.0,1.6666666666666667,2.0,1.0,3.8333333333333335,4.166666666666667
2_Discomfort,4.0,7.333333333333333,1.1666666666666667,5.0,3.6666666666666665,6.0,2.0,2.0,4.833333333333333,2.3333333333333335
2_Competency,4.833333333333333,6.0,7.833333333333333,6.166666666666667,6.5,4.166666666666667,3.1666666666666665,5.666666666666667,5.5,7.5
2_Safety,3.3333333333333335,3.6666666666666665,2.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.0,2.3333333333333335,2.3333333333333335,2.6666666666666665
3_Warmth,1.0,2.0,1.0,3.1666666666666665,5.0,2.6666666666666665,2.0,1.0,4.666666666666667,4.5
3_Discomfort,5.5,6.166666666666667,1.1666666666666667,5.666666666666667,3.1666666666666665,5.5,2.0,2.0,4.166666666666667,1.0
3_Competency,5.0,4.0,8.0,4.333333333333333,6.0,4.833333333333333,2.0,6.0,5.666666666666667,7.666666666666667
3_Safety,3.0,3.6666666666666665,2.0,2.6666666666666665,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
4_Warmth,1.6666666666666667,3.0,1.0,2.5,2.1666666666666665,1.8333333333333333,2.0,1.0,4.833333333333333,4.0
4_Discomfort,4.333333333333333,2.0,1.1666666666666667,5.833333333333333,3.8333333333333335,7.166666666666667,2.0,2.0,2.0,1.1666666666666667
4_Competency,4.5,6.0,8.0,3.5,6.833333333333333,4.166666666666667,2.6666666666666665,6.0,5.0,7.5
4_Safety,3.0,3.0,2.3333333333333335,3.0,2.3333333333333335,3.0,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
5_Warmth,5.0,4.0,1.0,4.833333333333333,5.0,1.8333333333333333,2.0,1.0,4.833333333333333,3.8333333333333335
5_Discomfort,6.0,4.333333333333333,1.0,4.166666666666667,3.5,3.6666666666666665,2.0,2.0,2.8333333333333335,1.0
5_Competency,5.0,6.333333333333333,7.833333333333333,5.666666666666667,6.5,5.833333333333333,2.0,6.0,4.333333333333333,7.5
5_Safety,2.3333333333333335,2.3333333333333335,2.0,2.6666666666666665,2.3333333333333335,3.0,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
6_Warmth,1.3333333333333333,3.3333333333333335,2.3333333333333335,2.5,5.0,1.3333333333333333,2.0,1.0,3.0,3.6666666666666665
6_Discomfort,4.833333333333333,3.1666666666666665,1.0,6.666666666666667,3.5,4.666666666666667,2.0,2.0,4.0,1.0
6_Competency,4.333333333333333,6.0,8.333333333333334,3.5,6.333333333333333,4.833333333333333,2.0,6.0,4.5,8.5
6_Safety,3.3333333333333335,3.0,2.0,3.0,2.3333333333333335,3.6666666666666665,2.3333333333333335,2.3333333333333335,3.0,2.6666666666666665
7_Warmth,1.6666666666666667,1.6666666666666667,1.0,4.333333333333333,4.666666666666667,2.5,2.6666666666666665,1.0,1.1666666666666667,4.0
7_Discomfort,4.333333333333333,5.166666666666667,1.3333333333333333,4.666666666666667,3.3333333333333335,7.166666666666667,2.0,1.8333333333333333,4.0,1.0
7_Competency,4.5,5.666666666666667,7.5,5.333333333333333,6.333333333333333,3.5,2.0,5.166666666666667,4.0,7.666666666666667
7_Safety,3.0,3.0,2.0,3.0,2.3333333333333335,2.6666666666666665,2.3333333333333335,2.3333333333333335,3.3333333333333335,2.6666666666666665
8_Warmth,5.0,2.0,1.0,5.666666666666667,4.666666666666667,2.3333333333333335,2.0,1.0,5.166666666666667,4.333333333333333
8_Discomfort,6.166666666666667,4.5,1.0,3.8333333333333335,3.5,7.0,2.0,2.0,4.333333333333333,1.0
8_Competency,5.0,5.833333333333333,8.333333333333334,7.0,6.333333333333333,5.333333333333333,2.0,6.0,6.0,8.5
8_Safety,3.3333333333333335,3.3333333333333335,2.3333333333333335,3.0,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,3.0,2.0
9_Warmth,4.333333333333333,4.0,1.1666666666666667,6.833333333333333,5.0,2.6666666666666665,2.0,1.0,3.0,4.166666666666667
9_Discomfort,6.5,6.0,1.3333333333333333,4.333333333333333,3.1666666666666665,7.166666666666667,2.0,2.0,4.5,1.0
9_Competency,5.0,5.833333333333333,7.5,7.166666666666667,6.333333333333333,6.333333333333333,2.0,6.0,4.833333333333333,7.666666666666667
9_Safety,3.6666666666666665,3.0,2.0,3.0,2.3333333333333335,3.3333333333333335,2.3333333333333335,2.3333333333333335,3.0,2.3333333333333335
